OBJECTID,SITE_NO,geo_point_2d
46682,654,"-37.96478485443658, 145.20581287794897"
46690,663,"-37.969583854943295, 145.21118587638406"
46700,6202,"-36.74907078413612, 144.2819691645421"
46703,2508,"-37.811059829909645, 144.86968895360212"
46704,2509,"-37.8166838284153, 144.85008195580733"
46743,800,"-37.913187857320295, 145.25768787431088"
46758,930,"-37.965661852446715, 145.17881988228652"
46762,936,"-37.945861849499, 145.1395878913288"
46773,2200,"-37.81499984617624, 145.09938991263894"
46781,2297,"-37.86823983839756, 144.98947692576007"
46814,2625,"-37.772746830755345, 144.88602495404893"
46829,2708,"-37.78017483102665, 144.89163395220706"
46838,285,"-37.9342598508063, 145.16581288832734"
46841,292,"-38.02008484733354, 145.09758089048907"
46846,238,"-38.2316128444472, 145.04211887660222"
46849,242,"-38.3609198273486, 144.77986190938182"
46850,243,"-38.33244583977091, 144.96535287894895"
46870,442,"-37.99084085045449, 145.14470288558869"
46898,3850,"-37.86423284084724, 145.02803592007842"
46907,3831,"-37.76259883376569, 144.92569594812716"
46913,6686,"-38.19827695203286, 146.5378196186334"
46930,256,"-38.082224859870124, 145.27644785233312"
46935,262,"-37.88549884664654, 145.10840690407562"
46944,4068,"-37.8204518457051, 145.09831891211275"
46967,2100,"-37.79303383758034, 144.97572093677746"
46969,2103,"-37.794064838081624, 144.98511793467173"
46973,2759,"-37.876487842086505, 145.0417559163297"
46974,2760,"-37.69609084244612, 145.05961293326007"
46975,2761,"-37.67987883914187, 145.01491494170082"
46977,2764,"-37.694932842631346, 145.06040493284755"
46995,842,"-37.83169984911855, 145.14712590261672"
46998,845,"-37.833801850541114, 145.16426889910767"
46999,846,"-37.83408385093909, 145.1665238990687"
47016,643,"-37.97088185376666, 145.20466287758623"
47017,644,"-37.98497085243419, 145.18371787940876"
47018,645,"-37.98388285414312, 145.2004078765758"
47030,269,"-37.991359853602056, 145.1962938760515"
47063,3816,"-37.8631928450775, 145.0778979118479"
47064,3817,"-37.86347484486526, 145.08021891062563"
47066,3819,"-37.81214984460373, 145.0756889177566"
47070,3740,"-37.71436483922038, 145.00807893948573"
47075,4533,"-37.824864837512656, 144.9708509339299"
47076,4550,"-37.82318183732952, 144.97664993326154"
47080,947,"-37.96102084996274, 145.14103588954063"
47110,3514,"-37.754998833094106, 144.91778795108058"
47116,3560,"-37.906656844055554, 145.0617609088651"
47118,3563,"-37.908546844620275, 145.07762490619348"
47124,3736,"-37.69786984277649, 145.05906893292223"
47133,4237,"-37.800171832355694, 144.90325394850348"
47135,4241,"-37.79518783129762, 144.88879895106797"
47137,4357,"-37.856606840926226, 145.02929292029756"
47139,4369,"-37.85341784266287, 145.05272991691612"
47140,4372,"-37.81898883549713, 144.94671193942256"
47157,367,"-37.847615855239155, 145.2271548873626"
47162,373,"-37.86185685868247, 145.27886287637872"
47174,941,"-37.951814849503606, 145.13833889157283"
47178,2153,"-37.71867683608225, 144.96301094751905"
47183,3841,"-37.840001841553416, 145.0322179217919"
47189,5289,"-37.89947981717123, 144.66392697994493"
47206,4743,"-37.83948883876942, 144.99562192768283"
47212,212,"-38.05243084875091, 145.11600188440082"
47225,227,"-38.10343784966635, 145.1258908770757"
47251,1062,"-37.792192836166784, 144.96008493950563"
47266,151,"-37.77377486083903, 145.3134578802496"
47268,4044,"-37.84666984390565, 145.0627269158439"
47274,3433,"-37.817321831945236, 144.8966609480185"
47276,3441,"-37.918829842427115, 145.0416819118298"
47281,3454,"-37.79926483787408, 144.9873509337376"
47297,6286,"-36.75987778412755, 144.28166816350867"
47303,6461,"-34.227294638595396, 142.16101773483476"
47304,6619,"-38.162663906775364, 145.93075472868688"
47309,4057,"-37.80347684461918, 145.0831459170888"
47312,4060,"-37.8022678454175, 145.09738591462255"
47314,4015,"-37.769389834526244, 144.94356994434486"
47318,4019,"-37.769490836821454, 144.972065939733"
47337,346,"-37.814936852218764, 145.19354289643564"
47338,349,"-37.82728585201799, 145.18568389613026"
47346,2108,"-37.793772837499674, 144.98239993579037"
47360,4034,"-37.81035984338978, 145.06069592047402"
47366,3985,"-37.68611983358706, 144.92683195654755"
47386,689,"-37.77485784497009, 145.09223591835766"
47401,667,"-37.9943208545759, 145.20964487368357"
47403,669,"-37.985424855044265, 145.21923887337556"
47414,619,"-38.04578186394659, 145.34112884515176"
47428,4006,"-37.760829835933905, 144.9631989426624"
47431,4009,"-37.76548483560003, 144.94931494426197"
47438,3932,"-37.80112984673157, 145.1095919120685"
47444,3939,"-37.82033584730603, 145.1233929076383"
47445,3940,"-37.81942584736177, 145.11455291014073"
47464,3712,"-37.994335846462114, 145.09244489395908"
47467,3721,"-37.915657848715206, 145.1345018951702"
47475,3738,"-37.719139841345005, 145.03964093408658"
47486,960,"-37.98484085454568, 145.21431287423997"
47487,3395,"-37.83061983828175, 144.98785093068713"
47494,167,"-37.851430849326206, 145.14183490203922"
47500,257,"-38.110371860786415, 145.28330084772233"
47502,3478,"-37.8668108244434, 144.77818796344056"
47514,4052,"-37.79275184343677, 145.07134892069283"
47519,295,"-37.78571285778536, 145.27774088477182"
47526,3335,"-37.729842844548024, 145.0915299238734"
47539,3536,"-37.831877836676824, 144.96006393534063"
47564,952,"-37.98518985493903, 145.21720287351053"
47565,953,"-37.958528853426934, 145.19135288150005"
47567,956,"-37.982803854258975, 145.20282387669243"
47569,958,"-37.96592485407828, 145.2090238768359"
47581,165,"-37.85231684893062, 145.13490490233116"
47583,168,"-37.858560852797495, 145.19795589045714"
47584,169,"-37.85994085386127, 145.20696088915014"
47588,5045,"-38.089769796287726, 144.33560001712115"
47604,341,"-37.78096484897359, 145.1500089082777"
47617,776,"-37.84613785531899, 145.23618888552136"
47623,3782,"-37.76419283700346, 144.97301493996105"
47628,3994,"-37.689941835849076, 144.96191095077887"
